Name|Description|Price tax included|Price tax excluded|Image URLs|Categories|Tax rule|Product creation date|Quantity
Clifford. Wielki czerwony pies|Clifford to niezwykły, czerwony pies znany z popularnych seriali animowanych opartych na książeczkach dla dzieci autorstwa Normana Bridwella.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/clifford-wielki-czerwony-pies-plakat-online-cut_bc6c5dffc3.jpg|12-01-2022|1|2021-12-03|100
Diuna|Diuna opowiada historię niezwykłej, pełnej przygód i emocji podróży Paula Atreidesa. Temu genialnemu i utalentowanemu młodemu człowiekowi pisane jest wspaniałe przeznaczenie, którego on sam nie jest w stanie pojąć. Najpierw jednak Paul musi się udać na najbardziej niebezpieczną planetę we wszechświecie, żeby ratować rodzinę i rodaków. Na planecie wybucha zażarty konflikt o dostęp do niewystępującej nigdzie indziej, najcenniejszej ze znanych substancji. Wyzwala ona w ludziach ich największy potencjał. Ale wojnę przetrwają tylko ci, którzy pokonają swój strach.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/diuna-b1-1-final2809_6e3855be95.jpg|12-01-2022|1|2021-10-22|100
Dom Gucci|„Dom Gucci” inspirowany jest szokującą, prawdziwą historią rodzinnego imperium stojącego za włoskim domem mody Gucci. Trzy dekady miłości, zdrady, dekadencji, zemsty, zwieńczone w końcu morderstwem, pokazują, co znaczy nazwisko Gucci, ile jest warte i jak daleko posunie się rodzina, by nie wypuścić z rąk kontroli nad fortuną.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/dom-gucci-plakat-fin-cut_74eeed1355.jpg|12-01-2022|1|2021-11-26|100
Dziewczyny z Dubaju|Emi to młoda ambitna dziewczyna, która od lat marzy o wielkim świecie. Gdy tylko nadarza się okazja, bez wahania wskakuje w jego tryby, stając się ekskluzywną damą do towarzystwa. Wkrótce to ona na zaproszenie arabskich szejków zaczyna werbować polskie miss, celebrytki, gwiazdy ekranu i modelki. Jednak ten niedostępny, opływający w luksusy świat już niedługo pokaże swoją mroczną stronę…|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/dziewczyny-z-dubaju-oficjalny-plakat-cut_b8ce404043.jpg|12-01-2022|1|2021-11-26|100
Hiszpański romans|Mort i Sue to amerykańskie małżeństwo, które przybywa na festiwal filmowy w San Sebastian w Hiszpanii. On jest byłym wykładowcą filmoznawstwa, a ona specjalistką od reklamy pracującą dla młodego i obiecującego reżysera Philippe. Mort szybko zauważa, że Sue jest zafascynowana swoim podopiecznym oraz że to zainteresowanie wykracza poza czysto zawodowe ramy. W ich małżeńskiej relacji pojawia się kryzys. Pewnego dnia Mort trafia na wizytę do pięknej lekarki, która podziela jego zainteresowania i spojrzenie na świat. Nowopoznana kobieta również tkwi w trudnym związku – jej mąż jest malarzem o bardzo porywczym temperamencie. Czy za sprawą nowej znajomości Mort odnajdzie nadzieję i optymistycznie spojrzy w przyszłość? W życiu, jak w kinie – wszystko jest możliwe!|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/hiszpanski-romans-plakat-cut_f80c08b3ac.jpg|12-01-2022|1|2021-12-24|100
Kingsman: Pierwsza Misja|Gdy najgorsi w historii tyrani i zbrodnicze umysły łączą się, by opracować plan wojny, która zniesie z powierzchni Ziemi miliony istnień, jeden człowiek musi podjąć wyścig z czasem, aby ich powstrzymać. Odkryj początki pierwszej niezależnej agencji wywiadowczej w filmie „King’s Man: Pierwsza misja”.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/king-plakat-net-cut_e777df823e.jpg|12-01-2022|1|2022-01-05|100
KONIEC ŚWIATA, CZYLI KOGEL MOGEL 4|Miłość Agnieszki i Marcina rozkwita, podobnie jak Kasi i profesora Wolańskiego. Babcia Solska marzy już tylko o ślubie jedynego wnusia… Jednak na drodze do szczęścia młodego Zawady staje Bożenka. Wolańska postanawia radykalnie odmienić swoje życie i zamiast na seks, tym razem stawia na celibat. Spokój Piotrusia i Marlenki burzy nieoczekiwana wizyta... A kiedy wszyscy bohaterowie spotkają się w jednym miejscu nastąpi tytułowy koniec świata...|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/plakat-kogelmogel4_754da7efad.jpg|12-01-2022|1|2022-01-06|100
Lamb|"Noomi Rapace („Mężczyźni, którzy nienawidzą kobiet”, „Prometeusz”) w jednym z najoryginalniejszych filmów grozy ostatnich lat. „Lamb” to kolejna po „Midsommar. W biały dzień”, „Dziedzictwie. Hereditary” czy „The Lighthouse” mroczna filmowa baśń firmowana przez amerykańskie studio A24. 

Akcja filmu rozgrywa się na farmie na Islandii, którą prowadzi samotne małżeństwo. Ich spokojne, wypełnione pracą życie odmieni się, gdy w zagrodzie przyjdzie na świat niezwykła istota. 

Pełen zaskakujących zwrotów akcji „Lamb” stał się przebojem amerykańskich kin i otrzymał nagrodę za oryginalność na ostatnim festiwalu filmowym w Cannes."|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/lamb-plakatpl-lq-zpatronami-cut_5a6e4e69f0.jpg|12-01-2022|1|2021-12-31|100
Licorice Pizza|Szczenięce zauroczenie dorastających w Los Angeles Alany i Gary’ego rozwija się na tle wielkich przemian kulturowych czasu wolnej miłości.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/licorice-pizza-plakatcut_1dca189470.jpg|12-01-2022|1|2021-12-31|100
Matrix Zmartwychwstania||19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/pl-mtrx4-vert-main-2764x4096-intl-cut_5b758c9292.jpg|12-01-2022|1|2021-12-22|100
Nasze magiczne Encanto|„Nasze magiczne Encanto” opowiada historię niezwykłej rodziny Madrigal. Ich pełen magii dom znajduje się w tętniącym życiem mieście - w cudownym i urokliwym miejscu zwanym Encanto, ukrytym w górach Kolumbii. Magia Encanto sprawiła, że każde dziecko w rodzinie posiada wyjątkową moc uzdrawiania, z wyjątkiem Mirabel. Kiedy magia otaczająca Encanto jest w niebezpieczeństwie, Mirabel odkrywa, że to właśnie ona, jako jedyna zwyczajna osoba w tej wyjątkowej rodzinie, może być jej ostatnią nadzieją.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/encanto-net-cut_91ce912078.jpg|12-01-2022|1|2021-11-26|100
Spider-Man. Bez Drogi do domu|Czeka nas kontynuacja przygód Spider Mana. Będzie to trzecia część serii o człowieku - pająku. Ponownie w superbohatera wcieli się Tom Holland. Poprzednie dwie części odniosły wielki komercyjny sukces zarabiając na całym świecie ponad dwa miliardy dolarów. Z pewnością fani postaci wymyślonej przez Stana Lee i Steve'a Ditko czekają z niecierpliwością.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/spider-man-bez-drogi-do-domu-plakat-final-online-cut_8d94b2b652.jpg|12-01-2022|1|2021-12-17|100
W 80 dni dookoła świata|Obieżyświat to sympatyczny nastoletni małpiszon, który marzy o wielkich przygodach i dalekich podróżach. Na co dzień jednak słucha się mamy, chodzi do szkoły i generalnie wiedzie raczej spokojne życie. Wszystko odmieni jednak spotkanie z nieco postrzeloną żabą o imieniu Phileas, która zaproponuje Obieżyświatowi udział w szalonym zakładzie: jeśli uda im się objechać świat w 80 dni, zgarną pokaźną nagrodę i zyskają sławę. Mimo sprzeciwu mamy i zaskoczeniu przyjaciół młody małpiszon wyrusza wraz z Phileasem w pełną wyzwań i niebezpieczeństw podróż przez świat, którego wcale nie zna. Czeka go spotkanie z dzikimi plemionami, niezwykłymi zwierzętami, niesłychanymi cudami natury oraz mnóstwo zabawnych i zaskakujących zwrotów akcji. Przede wszystkim będzie to jednak wielka próba odwagi i przyjaźni obu podróżników. Szczególnie, że ich tropem podąża ktoś, kto pragnie pokrzyżować im szyki.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/w-80-dni-dookola-swiata-w-80-dni-dookola-swiata-plakat-haslo-2-scaled-plakat_adb7d8510c.jpg|12-01-2022|1|2021-12-25|100
Clifford. Wielki czerwony pies|Clifford to niezwykły, czerwony pies znany z popularnych seriali animowanych opartych na książeczkach dla dzieci autorstwa Normana Bridwella.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/clifford-wielki-czerwony-pies-plakat-online-cut_bc6c5dffc3.jpg|13-01-2022|1|2021-12-03|100
Diuna|Diuna opowiada historię niezwykłej, pełnej przygód i emocji podróży Paula Atreidesa. Temu genialnemu i utalentowanemu młodemu człowiekowi pisane jest wspaniałe przeznaczenie, którego on sam nie jest w stanie pojąć. Najpierw jednak Paul musi się udać na najbardziej niebezpieczną planetę we wszechświecie, żeby ratować rodzinę i rodaków. Na planecie wybucha zażarty konflikt o dostęp do niewystępującej nigdzie indziej, najcenniejszej ze znanych substancji. Wyzwala ona w ludziach ich największy potencjał. Ale wojnę przetrwają tylko ci, którzy pokonają swój strach.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/diuna-b1-1-final2809_6e3855be95.jpg|13-01-2022|1|2021-10-22|100
Dom Gucci|„Dom Gucci” inspirowany jest szokującą, prawdziwą historią rodzinnego imperium stojącego za włoskim domem mody Gucci. Trzy dekady miłości, zdrady, dekadencji, zemsty, zwieńczone w końcu morderstwem, pokazują, co znaczy nazwisko Gucci, ile jest warte i jak daleko posunie się rodzina, by nie wypuścić z rąk kontroli nad fortuną.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/dom-gucci-plakat-fin-cut_74eeed1355.jpg|13-01-2022|1|2021-11-26|100
Dziewczyny z Dubaju|Emi to młoda ambitna dziewczyna, która od lat marzy o wielkim świecie. Gdy tylko nadarza się okazja, bez wahania wskakuje w jego tryby, stając się ekskluzywną damą do towarzystwa. Wkrótce to ona na zaproszenie arabskich szejków zaczyna werbować polskie miss, celebrytki, gwiazdy ekranu i modelki. Jednak ten niedostępny, opływający w luksusy świat już niedługo pokaże swoją mroczną stronę…|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/dziewczyny-z-dubaju-oficjalny-plakat-cut_b8ce404043.jpg|13-01-2022|1|2021-11-26|100
Hiszpański romans|Mort i Sue to amerykańskie małżeństwo, które przybywa na festiwal filmowy w San Sebastian w Hiszpanii. On jest byłym wykładowcą filmoznawstwa, a ona specjalistką od reklamy pracującą dla młodego i obiecującego reżysera Philippe. Mort szybko zauważa, że Sue jest zafascynowana swoim podopiecznym oraz że to zainteresowanie wykracza poza czysto zawodowe ramy. W ich małżeńskiej relacji pojawia się kryzys. Pewnego dnia Mort trafia na wizytę do pięknej lekarki, która podziela jego zainteresowania i spojrzenie na świat. Nowopoznana kobieta również tkwi w trudnym związku – jej mąż jest malarzem o bardzo porywczym temperamencie. Czy za sprawą nowej znajomości Mort odnajdzie nadzieję i optymistycznie spojrzy w przyszłość? W życiu, jak w kinie – wszystko jest możliwe!|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/hiszpanski-romans-plakat-cut_f80c08b3ac.jpg|13-01-2022|1|2021-12-24|100
Kingsman: Pierwsza Misja|Gdy najgorsi w historii tyrani i zbrodnicze umysły łączą się, by opracować plan wojny, która zniesie z powierzchni Ziemi miliony istnień, jeden człowiek musi podjąć wyścig z czasem, aby ich powstrzymać. Odkryj początki pierwszej niezależnej agencji wywiadowczej w filmie „King’s Man: Pierwsza misja”.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/king-plakat-net-cut_e777df823e.jpg|13-01-2022|1|2022-01-05|100
KONIEC ŚWIATA, CZYLI KOGEL MOGEL 4|Miłość Agnieszki i Marcina rozkwita, podobnie jak Kasi i profesora Wolańskiego. Babcia Solska marzy już tylko o ślubie jedynego wnusia… Jednak na drodze do szczęścia młodego Zawady staje Bożenka. Wolańska postanawia radykalnie odmienić swoje życie i zamiast na seks, tym razem stawia na celibat. Spokój Piotrusia i Marlenki burzy nieoczekiwana wizyta... A kiedy wszyscy bohaterowie spotkają się w jednym miejscu nastąpi tytułowy koniec świata...|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/plakat-kogelmogel4_754da7efad.jpg|13-01-2022|1|2022-01-06|100
Lamb|"Noomi Rapace („Mężczyźni, którzy nienawidzą kobiet”, „Prometeusz”) w jednym z najoryginalniejszych filmów grozy ostatnich lat. „Lamb” to kolejna po „Midsommar. W biały dzień”, „Dziedzictwie. Hereditary” czy „The Lighthouse” mroczna filmowa baśń firmowana przez amerykańskie studio A24. 

Akcja filmu rozgrywa się na farmie na Islandii, którą prowadzi samotne małżeństwo. Ich spokojne, wypełnione pracą życie odmieni się, gdy w zagrodzie przyjdzie na świat niezwykła istota. 

Pełen zaskakujących zwrotów akcji „Lamb” stał się przebojem amerykańskich kin i otrzymał nagrodę za oryginalność na ostatnim festiwalu filmowym w Cannes."|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/lamb-plakatpl-lq-zpatronami-cut_5a6e4e69f0.jpg|13-01-2022|1|2021-12-31|100
Licorice Pizza|Szczenięce zauroczenie dorastających w Los Angeles Alany i Gary’ego rozwija się na tle wielkich przemian kulturowych czasu wolnej miłości.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/licorice-pizza-plakatcut_1dca189470.jpg|13-01-2022|1|2021-12-31|100
Matrix Zmartwychwstania||19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/pl-mtrx4-vert-main-2764x4096-intl-cut_5b758c9292.jpg|13-01-2022|1|2021-12-22|100
Nasze magiczne Encanto|„Nasze magiczne Encanto” opowiada historię niezwykłej rodziny Madrigal. Ich pełen magii dom znajduje się w tętniącym życiem mieście - w cudownym i urokliwym miejscu zwanym Encanto, ukrytym w górach Kolumbii. Magia Encanto sprawiła, że każde dziecko w rodzinie posiada wyjątkową moc uzdrawiania, z wyjątkiem Mirabel. Kiedy magia otaczająca Encanto jest w niebezpieczeństwie, Mirabel odkrywa, że to właśnie ona, jako jedyna zwyczajna osoba w tej wyjątkowej rodzinie, może być jej ostatnią nadzieją.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/encanto-net-cut_91ce912078.jpg|13-01-2022|1|2021-11-26|100
Spider-Man. Bez Drogi do domu|Czeka nas kontynuacja przygód Spider Mana. Będzie to trzecia część serii o człowieku - pająku. Ponownie w superbohatera wcieli się Tom Holland. Poprzednie dwie części odniosły wielki komercyjny sukces zarabiając na całym świecie ponad dwa miliardy dolarów. Z pewnością fani postaci wymyślonej przez Stana Lee i Steve'a Ditko czekają z niecierpliwością.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/spider-man-bez-drogi-do-domu-plakat-final-online-cut_8d94b2b652.jpg|13-01-2022|1|2021-12-17|100
W 80 dni dookoła świata|Obieżyświat to sympatyczny nastoletni małpiszon, który marzy o wielkich przygodach i dalekich podróżach. Na co dzień jednak słucha się mamy, chodzi do szkoły i generalnie wiedzie raczej spokojne życie. Wszystko odmieni jednak spotkanie z nieco postrzeloną żabą o imieniu Phileas, która zaproponuje Obieżyświatowi udział w szalonym zakładzie: jeśli uda im się objechać świat w 80 dni, zgarną pokaźną nagrodę i zyskają sławę. Mimo sprzeciwu mamy i zaskoczeniu przyjaciół młody małpiszon wyrusza wraz z Phileasem w pełną wyzwań i niebezpieczeństw podróż przez świat, którego wcale nie zna. Czeka go spotkanie z dzikimi plemionami, niezwykłymi zwierzętami, niesłychanymi cudami natury oraz mnóstwo zabawnych i zaskakujących zwrotów akcji. Przede wszystkim będzie to jednak wielka próba odwagi i przyjaźni obu podróżników. Szczególnie, że ich tropem podąża ktoś, kto pragnie pokrzyżować im szyki.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/w-80-dni-dookola-swiata-w-80-dni-dookola-swiata-plakat-haslo-2-scaled-plakat_adb7d8510c.jpg|13-01-2022|1|2021-12-25|100
